District,Constituency,Expected Winning Party (By PPA on 11-11-25),Actual Winner (after results on 14-11-25),Expected Votes (By PPA on 11-11-25),Actual Votes (after results on 14-11-25),Vote Diff,Runner-Up (By PPA on 11-11-25),Actual Runner-Up (after results on 14-11-25),Runner-Up Votes (By PPA on 11-11-25),Actual Runner-Up Votes (after results on 14-11-25),Winning Margin (By PPA on 11-11-25),Actual Margin (after results on 14-11-25),Error Margin ±5000 proposed (By PPA on 11-11-25),After Adjustment actual diffence
,92 - SAKRA (SC)सकरा (अ.जा.),JDU (NDA),JDU (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,93 - KURHANIकुरहनी,BJP (NDA),BJP (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,94 - MUZAFFARPURमुजफ्फरपुर,BJP (NDA),BJP (NDA),92553,100477,7924,INC (MGB),INC (MGB),60149,67820,32404,32657,32657,0
,95 - KANTIकांति,RJD (MGB),JDU (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,96 - BARURAJबरुराज,BJP (NDA),BJP (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,97 - PAROOपरू,RLM,RJD (MGB),-,-,-,-,-,-,-,-,-,±5000,-
,98 - SAHEBGANJसाहेबगंज,BJP (NDA),BJP (NDA),-,-,-,-,-,-,-,-,-,±5000,-
GOPALGANJगोपालगंज,99 - BAIKUNTHPURबैकुंठपुर,RJD (MGB),BJP (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,100 - BARAULIबरौली,BJP (NDA),JDU/NDA (NDA),-,-,-,-,-,-,-,-,-,±5000,-
GOPALGANJगोपालगंज,101 - GOPALGANJगोपालगंज,BJP (NDA),BJP (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,102 - KUCHAIKOTEकुचायकोटे,JDU (NDA),JDU (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,103 - BHOREY (SC)भोरे (अ.जा.),JDU (NDA),JDU (NDA),-,-,-,-,-,-,-,-,-,±5000,-
,104 - HATHUAहथुआ,JDU (NDA),JDU (NDA),-,-,-,-,-,-,-,-,-,±5000,-
SIWANसिवान,105 - SIWANसिवान,BJP (NDA),BJP (NDA),85525,92379,6854,RJD (MGB),RJD (MGB),66899,83009,18626,9370,11626,-2256
