Constituency Name,YSRCP Expected,YSRCP Actual,TDP & JNP & BJP Expected,TDP & JNP & BJP Actual,Congress & CPI Expected,Congress & CPI Actual,NOTA Expected,NOTA Actual,Others Expected,Others Actual,Winning Candidate,Expected Winner (SGED),Actual Winner 2024,SGED Winning Margin,Win Margin ±5000 Votes Party By SGED,Actual Margin 2024,Vote %,Total Votes,Difference After Actullality
Bhimavaram,72231,63450,122907,130424,1856,3252,1570,1210,2283,5647,Pulaparthi Ramanjaneyulu,JNP,JNP,50675,55676,66974,79.00%,203983,-11298
Undi,61692,60125,99589,116902,1939,1157,1851,1607,28642,15681,Raghu Rama Krishna Raju,TDP,TDP,37896,42897,56777,86.00%,195472,-13880
TANUKU,75529,57426,111214,129547,1732,2422,1940,1722,2217,3651,Arimilli Radha Krishna,TDP,TDP,35685,40686,72121,82.00%,194768,-31435
Tadepalligudem,71574,53951,99361,116443,1684,1901,1852,1534,1515,4220,Bolisetti Srinivas,JNP,JNP,27787,32787,62492,82.00%,178049,-29705
Unguturu,74002,63949,100756,108894,2592,3130,2476,2105,1322,4545,Patsmatla Dharmaraju,JNP,JNP,26754,26754,44945,88.00%,182623,NaN
Denduluru,98251,81021,88949,107287,1395,1607,2674,1920,1627,2831,Kotaru Abbaya Chowdary,YSRCP,TDP,9302,9302,NaN,86.00%,194666,-
Eluru,66596,49174,94600,111562,1444,604,1732,1256,769,3679,Badeti Radha Krishna,TDP,TDP,28004,33005,62388,70.00%,166275,-29383
Gopalapuram,89952,87636,108371,114420,2227,2387,3855,4500,5996,2716,Maddipati Venkata Raju,TDP,TDP,18418,23419,26784,87.00%,211659,-3365
Polavaram,102895,93518,95772,101453,6649,3568,6015,5611,6965,14849,Tellam Rajyalakshmi,YSRCP,JNP,7124,7124,NaN,86.00%,218999,-
Chintalapudi,104053,92360,109776,120126,3902,4958,3642,4121,1560,3826,Songa Roshan,TDP,TDP,5722,10723,27766,82.00%,225391,-17043
Tiruvuru,94128,78845,79490,100719,2133,1329,1745,1184,4168,1343,Nallagatla Swamy Das,YSRCP,TDP,14638,14638,NaN,88.00%,183420,-
Nuzvid,106233,95851,97998,108229,2141,2405,2306,2771,1482,2461,Kolusu Parthasarathy,YSRCP,TDP,8235,8235,NaN,88.00%,211717,-
Gannavaram,104498,97924,120670,135552,2986,1219,1742,1731,6966,3099,Yarlagadda Venkata Rao,TDP,TDP,16172,21172,37628,85.00%,239525,-16456
Gudivada,76711,56940,84930,109980,1973,1333,3288,999,1643,2352,Venigandla Ramu,TDP,TDP,8218,13219,53040,83.00%,171604,-39821
Kaikalur,72137,64007,102475,109280,1807,2480,1620,1598,1495,3626,Kamineni Srinivas,BJP,BJP,30337,35338,45273,87.00%,180991,-9935
Pedana,59866,53271,83534,91394,1949,1354,1392,1349,1670,2593,Kagitha Krishna Prasad,TDP,TDP,23667,28668,38123,89.00%,149961,-9455
Machilipatnam,66266,54802,89828,105044,1767,1443,1473,1027,1767,2523,Kollu Ravindra,TDP,TDP,23561,28561,50242,82.00%,164839,-21681
Avanigadda,75388,67026,94235,113460,2399,1068,1713,1952,9252,2936,Mandali Buddha Prasad,JNP,JNP,18846,23847,46434,86.00%,186442,-22587
Pamarru,72063,64499,79365,94189,2381,2233,1905,1733,6984,2215,Varla Kumar Raja,TDP,TDP,7301,12302,29690,88.00%,164869,-17388
Penamaluru,107699,84997,119665,144912,2393,2596,1596,1510,1994,2524,Bode Prasad,TDP,TDP,11966,16967,59915,79.00%,236539,-42948
Vijaywada West,69192,58637,86786,105669,2372,3723,890,1236,10872,2578,Y. S. Chowdary,BJP,BJP,17594,22594,47032,66.00%,171843,-24438
Vijayawada central,89689,69201,101417,118841,2070,2244,1173,1049,8278,4571,Bonda Umamaheswara Rao,TDP,TDP,11728,1672,68886,73.00%,195906,-67214
Vijayawada East,81481,61148,107407,130034,2222,4887,1037,951,888,7697,Gadde Ramamohan,TDP,TDP,25925,30926,49640,71.00%,204717,-18714
Mylavaram,112638,94509,123653,137338,2360,4652,918,1598,917,4500,Vasantha Venkata Krishna Prasad,TDP,TDP,11014,16015,42829,85.00%,242597,-26814
Nandigama,80575,74806,93467,102201,1896,1486,948,928,3033,2570,Tangirala Sowmya,TDP,TDP,12891,17892,27395,88.00%,181991,-9503
Jaggayyapeta,85338,82502,95243,98479,1524,2527,952,773,1523,1606,Sreeram Rajagopal Tataiah,TDP,TDP,9905,14905,15977,90.00%,185887,-1072
Pedakurapadu,106242,91868,95641,112957,2591,1290,1413,1184,1413,1999,Namburu Sankar Rao,YSRCP,TDP,10601,10601,NaN,89.00%,209298,-
Tadikonda (SC),81994,69979,92623,109585,1518,2514,911,995,4555,1027,Tenali Sravan Kumar,TDP,TDP,10628,15629,39606,87.00%,184100,-23977
Mangalagiri,99464,76297,138144,167710,2072,2629,691,890,10360,6304,Nara Lokesh,TDP,TDP,38680,43680,91413,86.00%,253830,-47733
Ponnuru,82529,77495,105933,110410,2464,2400,1109,1248,985,2322,Dhulipalla Narendra Kumar,TDP,TDP,23403,28404,32915,85.00%,193875,-4511
Vemuru (SC),75850,72901,90351,94922,1785,1664,1785,1763,892,1601,Nakka Ananda Babu,TDP,TDP,14500,19501,22021,86.00%,172851,-2520
Repalle,82312,71182,100711,111129,2324,2841,1356,1891,968,1789,Anagani Satya Prasad,TDP,TDP,18399,23399,39947,83.00%,188832,-16548
Tenali,90330,75849,108860,123961,2316,307,1235,1412,1080,4467,Nadendla Manohar,JNP,JNP,18529,23529,48112,76.00%,205996,-24583
Bapatla,79791,62858,72644,90626,2350,4193,783,1128,2937,2421,Kona Raghupathi,YSRCP,TDP,7147,7147,NaN,83.00%,161226,-
